Merchant,Category,Amount,User
Vodafone,Mobile Services,237.93,107
Apple Music,Entertainment,43.22,75
Lidl,Groceries,152.27,152
Iceland,Groceries,18.82,88
Bolt,Transport,57.02,192
Uber,Transport,156.28,58
EDF,Utilities & Bills,110.83,49
Waitrose,Groceries,102.97,188
Virgin Mobile,Mobile Services,27.2,190
Aldi,Groceries,130.99,64
John Lewis,Shopping,215.69,135
Netflix,Entertainment,20.94,132
Primark,Shopping,143.01,9
McDonald's,Food & Drink,61.57,92
Vodafone,Mobile Services,34.9,8
Sky Mobile,Mobile Services,227.78,164
KFC,Food & Drink,190.06,134
Octopus Energy,Utilities & Bills,144.09,191
Costa,Food & Drink,115.19,190
Bolt,Transport,183.18,15
British Gas,Utilities & Bills,132.6,190
Apple Music,Entertainment,71.48,53
Starbucks,Food & Drink,73.83,124
Netflix,Entertainment,77.59,45
Amazon,Shopping,246.79,88
Primark,Shopping,76.9,63
Waitrose,Groceries,178.18,163
Tesco,Groceries,153.46,41
TFL,Transport,213.26,12
Starbucks,Food & Drink,20.57,151
Thames Water,Utilities & Bills,168.15,172
British Gas,Utilities & Bills,142.5,101
Virgin Mobile,Mobile Services,212.98,5
Nando's,Food & Drink,193.89,103
Tesco,Groceries,179.11,90
Greggs,Food & Drink,31.43,63
Giffgaff,Mobile Services,82.02,96
Bolt,Transport,39.14,143
Lidl,Groceries,61.06,160
Sky Mobile,Mobile Services,175.22,28
Costa,Food & Drink,202.99,185
Spotify,Entertainment,201.9,44
Bolt,Transport,221.4,128
Nando's,Food & Drink,224.54,190
Amazon,Shopping,60.84,190
Primark,Shopping,91.38,3
Virgin Mobile,Mobile Services,130.13,137
EDF,Utilities & Bills,174.65,172
Sky Mobile,Mobile Services,84.18,96
Primark,Shopping,94.09,186
National Rail,Transport,66.69,130
Tesco,Groceries,41.28,184
John Lewis,Shopping,154.34,130
Bolt,Transport,13.1,129
Iceland,Groceries,40.5,172
KFC,Food & Drink,140.46,68
Sky Mobile,Mobile Services,95.57,145
Virgin Mobile,Mobile Services,95.11,116
Burger King,Food & Drink,102.71,144
Amazon,Shopping,83.59,70
Vue,Entertainment,149.77,187
TFL,Transport,179.23,147
National Rail,Transport,28.56,161
Virgin Mobile,Mobile Services,210.24,11
Uber,Transport,32.8,151
Virgin Mobile,Mobile Services,175.47,7
National Rail,Transport,205.22,60
Argos,Shopping,249.08,140
Apple Music,Entertainment,221.25,9
John Lewis,Shopping,176.59,131
