Merchant,Amount,TransactionID,PaymentMethod,Category,Timestamp
Iceland,150.07075357881433,B5W3DW,Credit Card,Shopping,2025-02-01 20:34:00
Wagamama,312.4953115404185,QD71NH,Debit Card,Food & Drink,2025-02-01 17:16:00
Pret A Manger,314.2888884588756,UOBYYR,Credit Card,Food & Drink,2025-02-02 03:18:00
Odeon,105.37096044174741,G9SYY9,Credit Card,Entertainment,2025-02-02 02:51:00
Amazon,469.1324876947456,UT76ZX,Mobile,Shopping,2025-02-01 15:51:00
Cafe,67.7249663523684,EIXG5W,Credit Card,Food & Drink,2025-02-02 02:36:00
Costa,187.22443398728737,UKW877,Debit Card,Food & Drink,2025-02-01 19:03:00
IKEA,490.2811821574386,UWXQID,Mobile,Home & Garden,2025-02-02 09:53:00
Wagamama,193.4017868439659,Z62VST,Cash,Food & Drink,2025-02-01 13:02:00
Coffee,373.11536281158544,C0DX6W,Mobile,Food & Drink,2025-02-01 11:35:00
shein,23.829417547001412,7YPB23,Mobile,Shopping,2025-02-01 11:40:00
Amazon UK,447.47269066942346,KR9QU4,Debit Card,Shopping,2025-02-02 08:00:00
Cineworld,264.019102576053,01Z1TT,PayPal,Entertainment,2025-02-02 01:45:00
John Lewis,166.25398579756316,D4CSZD,Credit Card,Shopping,2025-02-02 03:44:00
Nandos,111.18294084292897,XWDDD3,Mobile,Food & Drink,2025-02-02 02:09:00
Amazon,90.60180729238937,EQX48T,Mobile,Shopping,2025-02-01 23:30:00
Zara,163.67494575432394,PXFHXB,Mobile,Clothing,2025-02-02 03:48:00
Currys PC World,287.4481799122871,WAWC46,Credit Card,Electronics,2025-02-01 16:27:00
shein,374.91893172249326,YYPB9T,Debit Card,Shopping,2025-02-02 04:06:00
Three,152.6957101378699,FRQIIB,PayPal,Mobile Services,2025-02-01 22:28:00
Waitrose,345.4833123452619,Y4VKDL,Debit Card,Groceries,2025-02-01 12:50:00
ebay,117.36531063001996,L70IPU,Debit Card,Shopping,2025-02-01 14:46:00
Nandos,302.23790390173764,LLGV67,Mobile,Food & Drink,2025-02-01 19:05:00
Argos,78.89793479109527,0JSZWO,Credit Card,Retail,2025-02-02 00:43:00
EE,338.07508560900004,2BPSOL,Debit Card,Mobile Services,2025-02-02 06:45:00
B&Q,298.1382410746037,A4DV27,PayPal,Home & Garden,2025-02-01 19:19:00
Netflix UK,96.60500764225436,93M4YN,Cash,Entertainment,2025-02-01 12:29:00
Boots,131.2858234487907,RNGDME,Credit Card,Retail,2025-02-01 22:06:00
M&S Foods,137.8427717773261,4FZBEW,Credit Card,Groceries,2025-02-01 15:00:00
IKEA,15.016358364687878,GX8QRJ,Mobile,Home & Garden,2025-02-01 10:11:00
Zara,303.94990906337296,WM9WQ6,Debit Card,Clothing,2025-02-01 12:02:00
Tesco,103.03312859844762,99LUP6,Credit Card,Groceries,2025-02-02 06:34:00
ebay,323.94274670695,9VTZ8L,Mobile,Shopping,2025-02-02 00:47:00
Tesco,346.5306540353472,2D919D,Debit Card,Groceries,2025-02-02 01:35:00
Argos,260.8361949777876,T95NFL,Credit Card,Retail,2025-02-01 16:24:00
British Gas,13.190015669398136,GQ3QSC,Credit Card,Utilities & Bills,2025-02-01 19:40:00
Three,10.137987991993793,0I87HW,Cash,Mobile Services,2025-02-01 13:02:00
O2,239.08903759876284,5LVDLX,Mobile,Mobile Services,2025-02-02 01:06:00
Greggs,126.81783769133777,7CU6BK,Cash,Food & Drink,2025-02-01 19:01:00
Waitrose,435.98811311784965,0C536B,Credit Card,Groceries,2025-02-02 06:19:00
Gails,250.04172747797423,FKP0BV,Cash,Food & Drink,2025-02-02 06:47:00
Vodafone,342.64315091429,P60EKQ,Mobile,Mobile Services,2025-02-01 23:02:00
Costa,296.5582433185063,23MNYB,Mobile,Food & Drink,2025-02-01 15:28:00
John Lewis,155.04263331418656,TC5PES,Credit Card,Shopping,2025-02-01 13:46:00
Walmart,312.84504272459424,2ATQZN,Debit Card,Shopping,2025-02-01 15:43:00
Zara,180.99020317298138,BA13MR,Mobile,Clothing,2025-02-01 11:34:00
TFL,102.5616435166053,4M18MS,Credit Card,Transport,2025-02-01 22:54:00
IKEA,97.8937704027361,M0OYJJ,Debit Card,Home & Garden,2025-02-01 14:46:00
Currys PC World,87.66944302995132,48Q1HX,Credit Card,Electronics,2025-02-02 04:50:00
Temu,453.1362249890877,3JJZ9S,PayPal,Shopping,2025-02-02 01:48:00
Currys PC World,71.5908634096295,NKQN4Q,PayPal,Electronics,2025-02-01 18:38:00
Walmart,280.6743172270807,DV3W2L,Mobile,Shopping,2025-02-01 13:35:00
Coffee,68.19639247246165,GHNWG7,Mobile,Food & Drink,2025-02-01 18:28:00
IKEA,351.8225231154293,T43VM6,Cash,Home & Garden,2025-02-02 06:37:00
Costa,301.40123540753353,LP5369,Mobile,Food & Drink,2025-02-02 09:00:00
Argos,299.40783066909484,367IN1,Cash,Retail,2025-02-01 16:47:00
O2,143.0802340475541,77DGUP,Debit Card,Mobile Services,2025-02-01 20:17:00
Greggs,361.81774641072474,UAB3PL,Cash,Food & Drink,2025-02-02 04:22:00
Restaurent,277.8889011718779,SJ98XY,Mobile,Food & Drink,2025-02-02 05:27:00
Tesco,350.0293404144066,3RYKYT,Cash,Groceries,2025-02-02 08:39:00
Netflix UK,424.25711282174666,ZZKN0T,PayPal,Entertainment,2025-02-02 09:00:00
John Lewis,60.41373066992065,3WB4Z7,Debit Card,Shopping,2025-02-01 14:04:00
Nandos,421.9072833569754,XXD849,Debit Card,Food & Drink,2025-02-01 13:04:00
Uber,79.96409934658347,356KCE,Mobile,Transport,2025-02-02 06:32:00
Iceland,455.4098857905945,WZJN4V,Cash,Shopping,2025-02-01 15:30:00
Temu,96.4120424821213,HWE7BO,Cash,Shopping,2025-02-01 16:55:00
Cafe,461.6415161816968,E9AMC3,Mobile,Food & Drink,2025-02-01 11:03:00
Uber,387.3918192139216,GPL3GI,Debit Card,Transport,2025-02-02 00:22:00
Restaurent,40.826475595222355,MU6HD7,PayPal,Food & Drink,2025-02-01 17:57:00
Gails,66.67144298577804,60LMFY,PayPal,Food & Drink,2025-02-02 02:58:00
Spotify,98.74916096768894,I757N6,Credit Card,Entertainment,2025-02-02 09:38:00
EE,300.21909415758665,HIWWTC,Mobile,Mobile Services,2025-02-01 20:59:00
IKEA,438.05384429275534,8UWK5B,Credit Card,Home & Garden,2025-02-01 14:33:00
ebay,51.50534811323164,6JYZQT,Debit Card,Shopping,2025-02-02 00:40:00
ASDA,456.8163245371713,KSF4Q0,Mobile,Groceries,2025-02-02 08:14:00
EE,239.90408885537778,SVU3T3,PayPal,Mobile Services,2025-02-02 08:36:00
ASDA,121.74372775054395,GFQKE6,Debit Card,Groceries,2025-02-01 12:53:00
Wagamama,494.9059359253548,3JFOE8,Debit Card,Food & Drink,2025-02-01 14:56:00
Odeon,18.450105701854813,Y2RU8A,PayPal,Entertainment,2025-02-01 10:39:00
B&Q,154.54166343792048,AYUS6O,Credit Card,Home & Garden,2025-02-02 01:36:00
Cineworld,432.8402166058316,1NJ7TW,Cash,Entertainment,2025-02-01 19:24:00
McDonald's,52.37063114395986,FZ9C0I,Debit Card,Food & Drink,2025-02-01 15:55:00
Vodafone,179.01974890098313,O41A67,Mobile,Mobile Services,2025-02-01 16:56:00
Zara,126.31197145184348,NF5Z1F,Mobile,Clothing,2025-02-01 23:40:00
B&Q,481.5225737275783,L9J82U,Credit Card,Home & Garden,2025-02-02 04:37:00
shein,307.93884493786385,D5ALBW,Mobile,Shopping,2025-02-02 03:39:00
Amazon,70.4220565401002,T1ADM3,Credit Card,Shopping,2025-02-02 01:48:00
Odeon,33.2435451010452,A4IMXI,Cash,Entertainment,2025-02-01 20:37:00
Sainsbury's,148.16626000572998,HLHBK8,Mobile,Groceries,2025-02-02 08:48:00
Argos,170.7996218959654,AAINR0,PayPal,Retail,2025-02-01 12:59:00
Amazon,148.26956836610785,IJEUPP,Debit Card,Shopping,2025-02-02 06:42:00
Walmart,477.3154725508551,NI1NB4,PayPal,Shopping,2025-02-02 04:04:00
Waitrose,290.3466461712281,ZOQBUU,Mobile,Groceries,2025-02-02 00:24:00
Vodafone,223.62750767875733,G22MJ3,PayPal,Mobile Services,2025-02-02 04:02:00
H&M,309.95268112013827,SUUKL3,Credit Card,Clothing,2025-02-01 17:07:00
Currys PC World,163.771559032138,4HTQIO,Debit Card,Electronics,2025-02-02 02:40:00
Restaurent,305.32454881203284,FO2YRQ,Credit Card,Food & Drink,2025-02-01 21:17:00
EE,353.6501008284255,HYE5WB,Debit Card,Mobile Services,2025-02-01 12:06:00
M&S Foods,416.07578607637583,DQMVRR,Mobile,Groceries,2025-02-01 15:05:00
Gails,473.6966080095127,G4G037,PayPal,Food & Drink,2025-02-02 01:45:00
Cineworld,442.28333625652857,M894OS,Cash,Entertainment,2025-02-02 01:04:00
British Gas,87.76244282634143,YUZQYF,Mobile,Utilities & Bills,2025-02-02 07:30:00
Restaurent,491.20726949661025,03VSZF,Cash,Food & Drink,2025-02-02 00:19:00
John Lewis,57.512923149775816,00KMWY,Mobile,Shopping,2025-02-02 02:13:00
M&S Foods,254.4792301657784,HWRMKN,Debit Card,Groceries,2025-02-02 09:19:00
Odeon,299.97648958330734,RU5LEM,Cash,Entertainment,2025-02-01 14:24:00
Odeon,146.93826171295248,WOYPC2,Credit Card,Entertainment,2025-02-01 23:20:00
Lidl,178.11581010613673,7D0AGE,Mobile,Groceries,2025-02-01 17:03:00
Thames Water,361.659745986109,BOUCPA,PayPal,Utilities & Bills,2025-02-01 16:50:00
Sainsbury's,176.763943078445,49K2A3,Cash,Groceries,2025-02-01 23:08:00
Odeon,493.8342176158079,TZF57A,PayPal,Entertainment,2025-02-02 01:07:00
Currys PC World,476.30252247615323,KU9JC1,Debit Card,Electronics,2025-02-02 09:09:00
Thames Water,160.17265285069624,TMF2L8,Credit Card,Utilities & Bills,2025-02-01 21:50:00
Costa,355.12164282658665,V2MF0O,Mobile,Food & Drink,2025-02-01 20:37:00
Waitrose,76.1478161477112,CUOXS6,Mobile,Groceries,2025-02-01 14:44:00
B&Q,227.51452758993906,XUHUWV,Mobile,Home & Garden,2025-02-02 03:48:00
Waitrose,494.9395650028281,832I7M,Credit Card,Groceries,2025-02-01 18:38:00
Cineworld,190.09845569871453,GMNYXH,PayPal,Entertainment,2025-02-01 12:58:00
McDonald's,108.3753137169322,DXRBBP,Debit Card,Food & Drink,2025-02-02 01:22:00
Gails,316.3430407019218,8N4E0M,Credit Card,Food & Drink,2025-02-01 21:46:00
TFL,460.5904544751447,YN4KMY,PayPal,Transport,2025-02-01 15:37:00
B&Q,353.12153702875503,K3WOIT,Mobile,Home & Garden,2025-02-01 18:11:00
Gails,216.63418988654726,W35OW3,Debit Card,Food & Drink,2025-02-01 15:39:00
McDonald's,30.571083191886434,KWCJBS,PayPal,Food & Drink,2025-02-02 06:41:00
Odeon,92.46612463905312,R5FRJY,PayPal,Entertainment,2025-02-01 13:53:00
Boots,39.62622089924605,70ZSP6,Credit Card,Retail,2025-02-01 18:50:00
Three,186.48640278195458,VP54NQ,Debit Card,Mobile Services,2025-02-02 00:31:00
Waitrose,396.67684623261846,TEPEVE,Credit Card,Groceries,2025-02-01 19:21:00
Tesco,165.5002661279803,6RC05G,Credit Card,Groceries,2025-02-02 07:51:00
Coffee,385.7880579014978,T05LOJ,Credit Card,Food & Drink,2025-02-01 19:56:00
Coffee,128.0264563969467,1A4L7W,Debit Card,Food & Drink,2025-02-02 07:22:00
Starbucks,27.36419106932452,3SSLMN,Debit Card,Food & Drink,2025-02-02 07:27:00
Walmart,318.0990897781441,9D5TPR,Credit Card,Shopping,2025-02-02 08:02:00
shein,147.07615342025238,DFAQSD,PayPal,Shopping,2025-02-01 13:47:00
Wagamama,380.11924173293113,8YSFED,Debit Card,Food & Drink,2025-02-01 19:46:00
Restaurent,406.68475439858094,V9HVUG,Debit Card,Food & Drink,2025-02-02 06:31:00
IKEA,422.65081632655153,F4H92P,PayPal,Home & Garden,2025-02-02 06:45:00
Waitrose,374.96683683371094,9I6DX3,Mobile,Groceries,2025-02-02 03:48:00
Costa,28.882589002798525,2RLO7I,PayPal,Food & Drink,2025-02-01 17:54:00
Cineworld,273.8011124597756,IAZFDD,Debit Card,Entertainment,2025-02-02 01:49:00
Currys PC World,482.9472290012686,BHD0J2,Mobile,Electronics,2025-02-01 19:39:00
Tesco,26.228793649545363,FBYD72,Credit Card,Groceries,2025-02-01 19:29:00
Uber,429.96285211927017,I45KYK,PayPal,Transport,2025-02-02 04:15:00
TFL,387.8426791933448,ODLJIW,Credit Card,Transport,2025-02-01 22:03:00
O2,83.86453215967445,QJ43D0,PayPal,Mobile Services,2025-02-01 19:53:00
Amazon UK,229.84082669065566,32HNRJ,Debit Card,Shopping,2025-02-01 23:13:00
Starbucks,326.9055895774584,10EI6Z,PayPal,Food & Drink,2025-02-01 18:53:00
McDonald's,422.98536664718307,ILTC0B,Mobile,Food & Drink,2025-02-01 10:40:00
Zara,397.44334132007896,VT88L0,Cash,Clothing,2025-02-01 10:58:00
Vodafone,430.62009805553834,4G6VLZ,Cash,Mobile Services,2025-02-02 09:30:00
Odeon,492.61991191640163,HR3JGV,Credit Card,Entertainment,2025-02-02 08:37:00
Pret A Manger,15.761283809700585,QTB6K4,PayPal,Food & Drink,2025-02-01 19:25:00
John Lewis,205.65532733678276,4E12M0,Credit Card,Shopping,2025-02-02 01:02:00
Vodafone,41.312624915442605,NWGNU2,Debit Card,Mobile Services,2025-02-02 00:03:00
Costa,137.3923847224137,P96YSE,Mobile,Food & Drink,2025-02-02 05:32:00
H&M,101.75326319281338,M8QRTU,PayPal,Clothing,2025-02-01 11:51:00
Thames Water,318.52747793659057,ZTPENF,Mobile,Utilities & Bills,2025-02-02 09:50:00
Temu,485.1139653115426,KCC7YP,Mobile,Shopping,2025-02-02 00:32:00
ebay,142.2054890428438,9O3XXA,Mobile,Shopping,2025-02-01 19:06:00
Iceland,176.0343248193381,8FV236,Cash,Shopping,2025-02-01 13:04:00
Cineworld,171.26335978920076,O26R81,PayPal,Entertainment,2025-02-02 03:40:00
McDonald's,112.78549457089592,ESN7Y8,Mobile,Food & Drink,2025-02-02 07:52:00
Costa,129.8791573726204,9Y3Y5J,Credit Card,Food & Drink,2025-02-01 14:59:00
IKEA,384.552964453405,7U79MB,PayPal,Home & Garden,2025-02-01 21:55:00
Iceland,54.2546780769936,CGZSCH,Cash,Shopping,2025-02-01 14:28:00
Zara,438.3662493801386,HIMAWV,Debit Card,Clothing,2025-02-01 21:55:00
Lidl,414.55295059091486,9CED6P,PayPal,Groceries,2025-02-01 15:49:00
M&S Foods,57.149926371966124,X5L3Z4,Mobile,Groceries,2025-02-02 08:09:00
Tesco,76.84798261414616,AX9IYZ,Debit Card,Groceries,2025-02-02 08:46:00
Lidl,232.31480470576147,9HNKGM,Credit Card,Groceries,2025-02-01 23:20:00
Iceland,497.7502185228136,C8JJKX,Mobile,Shopping,2025-02-01 20:43:00
Costa,15.238236161667388,KB0FFP,Debit Card,Food & Drink,2025-02-01 22:53:00
Amazon,489.26813888729174,ZP7KMT,Mobile,Shopping,2025-02-02 05:54:00
Zara,217.71944815717467,IL7QOZ,Credit Card,Clothing,2025-02-01 14:19:00
Gails,371.10812283791347,SENBXE,Debit Card,Food & Drink,2025-02-02 05:47:00
Temu,145.14873114467582,S2FTMX,PayPal,Shopping,2025-02-02 03:51:00
Vodafone,74.63641916299736,CN8XP4,Credit Card,Mobile Services,2025-02-02 02:40:00
M&S Foods,190.4802110883864,GVC97Y,Mobile,Groceries,2025-02-01 15:31:00
Tesco,252.01830873190534,0HJ6YK,PayPal,Groceries,2025-02-01 22:08:00
ASDA,476.59514573370785,S9AHA9,Debit Card,Groceries,2025-02-02 09:27:00
M&S Foods,5.786632129053845,PO99YL,Debit Card,Groceries,2025-02-01 16:05:00
Odeon,319.92890075992085,D59OJ0,Credit Card,Entertainment,2025-02-01 12:03:00
Coffee,56.050825992880746,2A4ZGZ,Cash,Food & Drink,2025-02-02 06:28:00
Coffee,372.1391309299359,4X5X63,PayPal,Food & Drink,2025-02-01 11:12:00
Coffee,471.3389046656673,NFBV5K,Credit Card,Food & Drink,2025-02-02 05:55:00
Cineworld,475.4716336616132,AYIQO8,PayPal,Entertainment,2025-02-01 19:37:00
Restaurent,401.06072928967177,BDJ0LG,Debit Card,Food & Drink,2025-02-01 11:29:00
Waitrose,464.6657599855517,1V11Y3,Credit Card,Groceries,2025-02-01 15:28:00
Amazon,178.99277570767126,62PDPQ,Mobile,Shopping,2025-02-01 12:21:00
Waitrose,397.72979735538564,ZWASXQ,Debit Card,Groceries,2025-02-01 14:54:00
ASDA,111.45353795684359,3UYHND,PayPal,Groceries,2025-02-01 20:03:00
Gails,426.84777754503966,VD75RU,Credit Card,Food & Drink,2025-02-01 20:52:00
Zara,53.67414355019467,42MLL3,Debit Card,Clothing,2025-02-02 00:33:00
Cafe,23.15982312382024,GM92PK,Credit Card,Food & Drink,2025-02-01 15:04:00
Sainsbury's,234.8574350632235,IK5URH,PayPal,Groceries,2025-02-02 00:39:00
Odeon,82.92709286415595,5KILL9,PayPal,Entertainment,2025-02-01 12:37:00
Vodafone,188.26845763698088,11YQLR,Credit Card,Mobile Services,2025-02-01 14:13:00
Gails,63.095180620811576,K95CMM,Cash,Food & Drink,2025-02-01 11:38:00
shein,117.41924312272043,OHNUEY,PayPal,Shopping,2025-02-02 08:22:00
Coffee,454.4679984428311,5LWQ0A,PayPal,Food & Drink,2025-02-01 23:48:00
Boots,375.4830979653339,ON37VM,Debit Card,Retail,2025-02-01 17:54:00
EE,393.57055481307316,6Z3B9H,Debit Card,Mobile Services,2025-02-02 02:01:00
Restaurent,390.2347583689739,Q1EG8C,PayPal,Food & Drink,2025-02-01 23:33:00
Pret A Manger,456.1972826135186,MP4TCI,Cash,Food & Drink,2025-02-02 02:15:00
shein,387.1300652712363,4448QQ,Mobile,Shopping,2025-02-02 01:11:00
Walmart,435.8353573124416,O82SDH,Cash,Shopping,2025-02-01 22:46:00
Vodafone,313.63474569103937,2WPF2G,PayPal,Mobile Services,2025-02-01 14:48:00
Costa,41.075945974181444,8HBBE6,PayPal,Food & Drink,2025-02-02 05:24:00
Sainsbury's,197.71384415535675,6CX01S,Mobile,Groceries,2025-02-02 05:04:00
Costa,37.89799492298571,TKPBMZ,Debit Card,Food & Drink,2025-02-01 20:11:00
Boots,416.09400640108146,8PA0XR,Credit Card,Retail,2025-02-02 00:29:00
B&Q,227.1811100587071,4Y0EQ5,Credit Card,Home & Garden,2025-02-02 06:43:00
M&S Foods,296.35691748988216,ESAF8C,Cash,Groceries,2025-02-01 23:16:00
ASDA,392.85008888300786,I06ZCB,Cash,Groceries,2025-02-01 15:21:00
IKEA,251.64921449046957,128535,Credit Card,Home & Garden,2025-02-01 15:14:00
Amazon UK,121.8821705449416,6HW4D9,PayPal,Shopping,2025-02-01 21:14:00
Vodafone,409.90724198339274,JRCWTT,Cash,Mobile Services,2025-02-02 08:59:00
Restaurent,471.2205340392314,HQBAKG,Cash,Food & Drink,2025-02-02 05:32:00
Pret A Manger,417.7443479766548,2FUM85,PayPal,Food & Drink,2025-02-01 23:17:00
Uber,27.244760310893156,HCPERM,Debit Card,Transport,2025-02-01 10:27:00
Uber,439.37008879907444,S10PS9,Cash,Transport,2025-02-01 23:51:00
Vodafone,379.6493962725112,FYUQZL,Mobile,Mobile Services,2025-02-01 17:56:00
H&M,427.94737711279527,IUQR4N,Cash,Clothing,2025-02-01 13:40:00
Gails,193.1517972861253,0IF59I,Debit Card,Food & Drink,2025-02-01 23:38:00
Zara,105.09883032584484,86U2NR,Cash,Clothing,2025-02-01 21:24:00
Temu,373.48915933818716,IW9NJ9,PayPal,Shopping,2025-02-01 18:30:00
Uber,7.067916531186862,TBE9X2,Debit Card,Transport,2025-02-02 01:51:00
O2,292.30704534201635,1U8D7T,PayPal,Mobile Services,2025-02-01 11:36:00
