store,total_amount,Category
Iceland,370.38647951102524,Food & Drink
Tesco,252.64160481448272,Retail
Iceland,470.5382764882575,Food & Drink
Tesco,46.010830703189804,Clothing
McDonalds,242.61463923453067,Groceries
Sainsbury's,5.953746949913205,Groceries
Tesco,487.95913372910064,Clothing
Iceland,147.7376566057188,Transport
Amazon,334.0794112915755,Food & Drink
Zara,443.72297315104265,Transport
Zara,425.8025542690709,Shopping
Amazon,61.925796977241035,Clothing
Argos,371.2510236914707,Groceries
Amazon,181.66024002729495,Food & Drink
Argos,408.15973924303705,Transport
Starbucks,343.30290314435643,Food & Drink
Zara,497.35540486437407,Transport
Amazon,148.9604602533673,Clothing
H&M,462.81237762102563,Transport
H&M,102.08770680929386,Groceries
H&M,88.40436399245992,Entertainment
Sainsbury's,125.32950551093685,Transport
McDonalds,293.34855400270794,Entertainment
Tesco,335.2165813086074,Clothing
Greggs,250.96576145836875,Transport
H&M,220.1978956319257,Entertainment
Sainsbury's,325.1419265052292,Entertainment
H&M,376.54463397261406,Entertainment
Amazon,93.84755064348073,Food & Drink
Zara,462.9759411599032,Groceries
Tesco,495.4087161221162,Groceries
Tesco,443.6112337242246,Retail
Starbucks,347.383716555416,Retail
McDonalds,50.91734271666826,Shopping
Sainsbury's,99.24953203445078,Groceries
H&M,356.4379960732013,Retail
Tesco,460.6526953086832,Retail
Iceland,35.704987973304235,Entertainment
McDonalds,303.884477783724,Shopping
Iceland,83.90063330284369,Retail
Starbucks,188.98446541155784,Clothing
Starbucks,372.43351653073074,Groceries
H&M,378.09569732037187,Food & Drink
H&M,337.42553313941596,Entertainment
Amazon,370.9432748906417,Entertainment
Sainsbury's,252.97709002843538,Transport
H&M,135.48112228559052,Food & Drink
Starbucks,373.85457128602684,Clothing
Greggs,235.40416970863373,Shopping
Sainsbury's,16.543841707287935,Entertainment
Zara,330.0806193784364,Shopping
Argos,151.78752016885076,Food & Drink
McDonalds,377.1371879900754,Shopping
H&M,288.52578751906924,Shopping
Argos,215.389826824625,Retail
Sainsbury's,142.56934602240966,Transport
Tesco,192.1126182061114,Groceries
Iceland,469.3376095288395,Clothing
Argos,487.1620887193043,Shopping
McDonalds,300.96000253296336,Food & Drink
McDonalds,421.1987166045973,Food & Drink
Amazon,204.65625878560013,Food & Drink
Iceland,368.87226201591943,Groceries
H&M,339.2064359229902,Retail
Zara,52.51599683590551,Entertainment
Argos,439.86735171025634,Groceries
Starbucks,182.95844092286956,Retail
Iceland,219.9044988253741,Shopping
Greggs,468.64099061582124,Transport
H&M,79.52741800620342,Entertainment
Greggs,115.11736471938895,Entertainment
Sainsbury's,15.26215814315881,Retail
Iceland,324.5641359069988,Transport
Tesco,441.665963406695,Transport
H&M,238.27388202439906,Clothing
McDonalds,343.26638762622116,Groceries
Starbucks,493.04354206632246,Clothing
Argos,361.98622493109457,Retail
Iceland,258.5611911652269,Food & Drink
H&M,16.190570795755633,Shopping
Argos,327.6379049781821,Entertainment
Sainsbury's,21.8675187329818,Shopping
Amazon,393.9491229352651,Clothing
Amazon,141.24387172132302,Transport
Tesco,340.8412134823379,Clothing
Tesco,448.1738189198435,Retail
Argos,99.34659442666523,Entertainment
Tesco,370.24602530865064,Shopping
Tesco,158.19914403957713,Transport
McDonalds,301.7780580967775,Retail
Starbucks,80.56517232774304,Food & Drink
McDonalds,44.37988500150082,Transport
Tesco,23.569909163881867,Retail
Starbucks,406.453498345889,Clothing
Zara,365.12044594932996,Groceries
Zara,288.6088829291479,Food & Drink
Iceland,280.2119204476275,Clothing
McDonalds,193.54824302724356,Groceries
Greggs,425.7842931712215,Entertainment
H&M,104.06857861516984,Shopping
